管理番号,管轄会社,優先,都道府県名,（採）拠点,求人No.,企業名,形態,募集人数,職種,勤務地,資格,勤務時間,休日,時給/日給,月収目安,月収例内訳,年収目安,シフト,最寄り駅,通勤手段,交通費,寮費,寮形態,年齢,性別,TT（50057-01ダイハツ九州以外和彫り不可）,色弱,カップル,外国籍,サイズ制限,案件備考,紹介料,特約事項（定着）,備考（紹介料）,面接〆切,赴任日,入社日,選考にかかる日数,最終紹介日⇒入社日,勤務地市町村
os1,OS（旧PEO）,●,北海道,(採)札幌,50072-01 50072-02,アイシン北海道,無期雇用派遣,0名,自動車用のアルミ製品の加工工程にてマシンオペレーター業務,北海道苫小牧市柏原32番地5,"【必要資格】 ・未経験OK　※40歳まで　・経験者49歳位まで　・男性のみ 【契約期間】 ・無期雇用 【試用期間】 ・2ヶ月( 152,000円／月) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",【50072-01】 ①08:00～17:00　休憩60分 ②20:00～05:00　休憩60分 【50072-02】 ①08:00～19:00　休憩60分 ②20:00～07:00　休憩60分 ※選択できません,【50072-01】 土日 【50072-02】 4勤2休,"202,100円/月",28万円程度,勤務/20日 残業/40H 深夜/60H 休出/8H ,340万円程度,2交替,苫小牧駅,入寮者：車通勤or送迎 自宅：車通勤,上限3万円迄/月,無料,個室寮,40歳迄 ※製造経験者49歳迄,男性のみ,不可,可,不可,不可,4L迄,・勤務形態の選択はできません。配属工程によって01か02かが決定します ・できれば車持ち込みできる方,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,,北海道 苫小牧市
os2,OS（旧PEO）,●,北海道,(採)札幌,50049-01,トヨタ自動車北海道,無期雇用派遣,5名,オートマチックトランスミッション等の機械加工・組付 ミッションケース・プレス品の製造業務,北海道苫小牧市字勇払145-1,"【必要資格】 ・未経験可　※40歳まで ・経験者46歳位まで 【契約期間】 ・無期雇用 【試用期間】 ・2ヶ月( 152,000円／月) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①07:30～16:20　休憩70分 ②20:30～05:20　休憩70分 ①②→5勤2休,5勤2休 4勤2休,"227,100円/月",32万円程度,勤務/21日 残業/35H 深夜/60H 休出/7.83H ,390万円程度,2交替,苫小牧駅,入寮者：車通勤or送迎 自宅：車通勤,上限3万円迄/月,一般物件：4割自己負担,個室寮,男性：46歳迄（未経験者：40歳迄） 女性：30歳迄（身長158cm以上）,男女可,不可,不可,不可,不可,4L迄,男性：46歳位迄（未経験者：40歳迄） 女性：30歳迄（身長158cm以上）  【基準】 ・BMI30以下 ・肌が弱い方NG（アレルギー治療中等。軽度アトピー可） ・工場内禁煙につき、1日中我慢できる方,【～2024/10/1応募まで】 20万円 【2024/10/2～応募から】 30万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,10月・11月入社対象,随時,入社前週の 水曜～金曜,OSでの面接～入社まで 約10日～15日,4～5日程度,,北海道 苫小牧市
os3,OS（旧PEO）,●,北海道,(採)札幌,50083-01 50083-02,いすゞエンジン製造北海道,無期雇用派遣,2名,?動?エンジンの製造・修理業務。部品加?、アルミ鋳造、リビルト（エンジン再?）のいずれかの部門での勤務,北海道苫小牧市柏原１番地の４,"【必要資格】 ・40歳程度まで ・男性のみ 【契約期間】 ・無期雇用 【試用期間】 ・2ヶ月( 152,000円／月) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①07:00～15:45　休憩45分 ②18:30～03:15　休憩45分 ①②⇒5勤2休  ③7:00～16:30　休憩45分 ④18:30～03:15　休憩45分 ③④⇒4勤2休 ※選択不可,土日 ※工程により4勤2休,"176,300円/月",24万円程度,勤務/20日 残業/30H 深夜/45H 休出/8H ,288万円程度,2交替,苫小牧駅,入寮者：車通勤or送迎 自宅：車通勤,上限3万円迄/月,無料,個室寮,40歳迄,男性のみ,不可,不可,不可,不可,4L迄,-,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 苫小牧市
os4,OS,,北海道,(採)札幌,12544-01,キューピータマゴ 北広島工場,派遣,4名,割卵機のオペレーティング、容器詰め、洗浄、検品作業 未経験の方でもできる作業になります。,北海道北広島市南の里154,"【必要資格】 ・特になし ・男女可　・未経験59歳まで（経験者は64歳まで相談可能） 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,200円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",08:30～17:00　休憩60分,日曜休みの週休2日制,"1,200円/時",20万円程度,勤務/21日 残業/10H 深夜/0H 休出/0H,240万円程度,日勤,北広島駅,車,上限3万円迄/月,-,寮対応無,・未経験59歳迄 ・経験者64歳迄（面接後判断）,男女可,不可,不可,不可,不可,5L迄,※車通勤可 ※JR北広島駅からタクシー送迎あり(無料)　帰宅時も北広島駅までも同様  ・腰痛不可 ・色弱不可 ・タトゥー不可,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 北広島市
os5,OS,,北海道,(採)札幌,12546-01,ホクレン農業協同組合連合会 札幌鶏卵流通センター,派遣,2名,卵の検品・パッキング・仕分け・梱包・出荷作業 未経験の方でもできる作業になります。,北海道北広島市大曲823-9,"【必要資格】 ・特になし ・女性のみ　・未経験59歳まで（経験者は64歳まで相談可能） 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,300円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",09:00～17:00(実働6.5h)休憩90分 休憩(午前15分・昼60分・午後15分),シフト制　※ 日曜休みの週休2日制 (※週3日～週5日勤務可),"1,300円/時",20万円程度,勤務/22日 残業/5H 深夜/0H 休出/0H,230万円程度,日勤,北広島駅 福住駅(バス1本で通勤可),車 バス,上限3万円迄/月,-,寮対応無,・未経験59歳迄 ・経験者64歳迄（面接後判断）,女性のみ,不可,不可,不可,不可,5L迄,※公共のバス本数が少ないため車通勤できる方がのぞましい  ・腰痛不可 ・色弱不可 ・タトゥー不可,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 北広島市
os6,OS,,北海道,(採)札幌,11368-01,北日本精機,派遣,2名,ベアリング内外輪形状に加?する際の機械操作や品質チェック ベアリングのボール組合せや検査,北海道芦別市上芦別町26-23,"【必要資格】 ・男性のみ　・未経験：47歳まで ※これまでの経歴で正社員経験のある方 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,500円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:00～16:30　休憩60分 ②16:15～00:30　休憩45分 ③00:15～08:15　休憩45分 ①②③の3交替勤務,土日祝 ※企業カレンダーによる,"1,500円/時",27.8万円程度,勤務/20日 残業/10H 深夜/32H 休出/8H,336万円程度,3交替,上芦別駅,車,上限3万円迄/月,実費,個室寮,・未経験42歳迄 ・マシンオペレータ経験者は48歳迄（面接後判断）,男性のみ,不可,不可,不可,不可,5L迄,・腰痛不可 ・色弱不可 ・タトゥ不可 ・就業中のひげ不可,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 芦別市
os7,OS,,北海道,(採)札幌,1606-06,ユニマイクロンジャパン,派遣,0名,プリント基板の製造工程にて加工前基盤の準備、基板表面処理 表面処理装置の維持管理、加工済製品の検品作業等,北海道恵庭市戸磯573番地19,"【必要資格】 ・男女可能 ・50歳位まで 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,250円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:30～17:00　休憩75分 ②20:30～05:00　休憩75分 ①②の交替勤務 ５勤２休または４勤２休のシフト制,シフト制,"1,250円/時",27.2万円程度,勤務/21日 残業/40H 深夜/62.5H 休出/0H,326万円程度,2交替,サッポロビール庭園駅,車 JR,上限3万円迄/月,無料,個室寮,50歳迄,男女可,不可,不可,不可,不可,4L迄,・色弱不可 ・老眼不可,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,毎週木曜日,赴任翌週の月曜日,3～4日程度,随時問い合わせ,北海道 恵庭市
os8,OS,,北海道,(採)札幌,617627,北海道精密ツール,派遣,0名,超硬工具の刃先、交換式チップの製造,北海道空知郡奈井江町字奈井江776番地1,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,310円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①08:00～17:00　休憩60分 ②20:00～05:00　休憩60分,土日,"1,310円/時",27.5万円程度,勤務/20日 残業/21H 深夜/60H 休出/16H,330万円程度,2交替,奈井江駅,車,上限3万円迄/月,無料,個室寮,43歳迄,男性のみ,不可,不可,不可,不可,4L迄,・腰痛不可 ・金属アレルギー不可,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 空知郡奈井江町
os9,OS,,北海道,(採)札幌,971944,北海道住電精密,派遣,5名,超硬合金の製造及び加工,北海道空知郡奈井江町字奈井江776番地,"【必要資格】 ・2交替勤務経験者 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,410円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①08:00～17:00　休憩60分 ②20:00～05:00　休憩60分,土日,"1,410円/時",31.0万円程度,勤務/20日 残業/21H 深夜/60H 休出/16H,370万円程度,2交替,奈井江駅,車 徒歩,上限3万円迄/月,無料,個室寮,・未経験者35歳迄 ※製造経験あれば40歳迄（面接後判断） ※製造経験必須(食品系除く) ※交替勤務経験必須,男性のみ,不可,不可,不可,不可,4L迄,・腰痛不可 ・金属アレルギー不可 ・既往歴、持病ある方事前確認必須,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 空知郡奈井江町
os10,OS,,北海道,(採)札幌,80721,日本フードパッカー　道南工場,派遣,3名,豚?の仕分け作業や内臓の仕分け作業がメイン作業 ?程によっては、パック詰め・箱詰め作業や?動包装機に製品を?れる作業もあり ?品?場の為、製品の洗浄業務も付随作業,北海道二海郡八雲町立岩３５６,"【必要資格】 ・特になし 【契約期間】 ・12ヶ月更新 【試用期間】 ・2週間( 1,220円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①08:00～17:00　休憩70分,シフト制,"1,220円/時",22.3万円程度,勤務/21日 残業/10H 深夜/0H 休出/0H,256万円程度,日勤,八雲駅,車 送迎有(入寮者のみ),上限3万円迄/月,無料,個室寮,55歳迄,男女可,不可,不可,不可,不可,3L迄,・車通勤可、送迎バス利用可(入寮者のみ) ※寮の契約まで多少時間がかかります。 ※送迎はありますが極力自力通勤できる方 ※入寮・送迎希望の方は仕事の決定まで時間がかかります,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 二海郡八雲町
