管理番号,No.,都道府県,面接拠点,分野,種別,名称,募集人数,派遣先事業所住所,業務内容,案件キャッチコピー,最寄り駅,最寄り駅より車で,通勤方法,送迎バス,日勤のみフラグ,就業時間,休憩,土日休みフラグ,勤務形態・休日,入社予定日,社宅補助（契約社員）,性別,備考,勤務地市町村
A-1派生1,A-1,,,エンジニア,機械,大手自動車メーカー,10,栃木県芳賀郡芳賀町芳賀台6-1,自動車の設計業務,,宇都宮駅,25分,電車・バス・自動車・バイク・自転車,無し,,8：30～17：30  ※フレックス勤務,60分,,5勤2休　※祝日は出勤,即日,,,6：00～22：00でのフレックス勤務。コアタイムなし,栃木県 芳賀郡芳賀町
A-1派生2,A-1,,,エンジニア,機械,大手自動車メーカー,10,栃木県芳賀郡芳賀町芳賀台6-1,自動車の設計業務,,宇都宮駅,25分,電車・バス・自動車・バイク・自転車,無し,,8：30～17：30  ※フレックス勤務,60分,,5勤2休　※祝日は出勤,即日,,,6：00～22：00でのフレックス勤務。コアタイムなし,栃木県 芳賀郡芳賀町
A-1派生3,A-1,,,エンジニア,機械,大手自動車メーカー,10,栃木県芳賀郡芳賀町芳賀台6-1,自動車の設計業務,,宇都宮駅,25分,電車・バス・自動車・バイク・自転車,無し,,8：30～17：30  ※フレックス勤務,60分,,5勤2休　※祝日は出勤,即日,,,6：00～22：00でのフレックス勤務。コアタイムなし,栃木県 芳賀郡芳賀町
A-1派生4,A-1,,,エンジニア,機械,大手自動車メーカー,10,栃木県芳賀郡芳賀町芳賀台6-1,自動車の設計業務,,宇都宮駅,25分,電車・バス・自動車・バイク・自転車,無し,,8：30～17：30  ※フレックス勤務,60分,,5勤2休　※祝日は出勤,即日,,,6：00～22：00でのフレックス勤務。コアタイムなし,栃木県 芳賀郡芳賀町
A-1派生5,A-1,,,エンジニア,機械,大手自動車メーカー,10,栃木県芳賀郡芳賀町芳賀台6-1,自動車の設計業務,,宇都宮駅,25分,電車・バス・自動車・バイク・自転車,無し,,8：30～17：30  ※フレックス勤務,60分,,5勤2休　※祝日は出勤,即日,,,6：00～22：00でのフレックス勤務。コアタイムなし,栃木県 芳賀郡芳賀町
A-2派生1,A-2,,,エンジニア,機械,大手自動車メーカー,5,栃木県芳賀郡芳賀町芳賀台6-1,自動車のテスト・評価業務,,宇都宮駅,25分,電車・バス・自動車・バイク・自転車,無し,,8：30～17：30  ※フレックス勤務,60分,,5勤2休　※祝日は出勤,即日,,,6：00～22：00でのフレックス勤務。コアタイムなし,栃木県 芳賀郡芳賀町
A-2派生2,A-2,,,エンジニア,機械,大手自動車メーカー,5,栃木県芳賀郡芳賀町芳賀台6-1,自動車のテスト・評価業務,,宇都宮駅,25分,電車・バス・自動車・バイク・自転車,無し,,8：30～17：30  ※フレックス勤務,60分,,5勤2休　※祝日は出勤,即日,,,6：00～22：00でのフレックス勤務。コアタイムなし,栃木県 芳賀郡芳賀町
A-2派生3,A-2,,,エンジニア,機械,大手自動車メーカー,5,栃木県芳賀郡芳賀町芳賀台6-1,自動車のテスト・評価業務,,宇都宮駅,25分,電車・バス・自動車・バイク・自転車,無し,,8：30～17：30  ※フレックス勤務,60分,,5勤2休　※祝日は出勤,即日,,,6：00～22：00でのフレックス勤務。コアタイムなし,栃木県 芳賀郡芳賀町
A-2派生4,A-2,,,エンジニア,機械,大手自動車メーカー,5,栃木県芳賀郡芳賀町芳賀台6-1,自動車のテスト・評価業務,,宇都宮駅,25分,電車・バス・自動車・バイク・自転車,無し,,8：30～17：30  ※フレックス勤務,60分,,5勤2休　※祝日は出勤,即日,,,6：00～22：00でのフレックス勤務。コアタイムなし,栃木県 芳賀郡芳賀町
A-2派生5,A-2,,,エンジニア,機械,大手自動車メーカー,5,栃木県芳賀郡芳賀町芳賀台6-1,自動車のテスト・評価業務,,宇都宮駅,25分,電車・バス・自動車・バイク・自転車,無し,,8：30～17：30  ※フレックス勤務,60分,,5勤2休　※祝日は出勤,即日,,,6：00～22：00でのフレックス勤務。コアタイムなし,栃木県 芳賀郡芳賀町
