管理番号,案件番号,ステータス*,初回入力日*,更新日*,企業名*,都道府県（配属先）*,市区町村（配属先）*,最寄駅（配属先）*,雇用形態*,種別,業務内容*,求めるスキル*,開発対象*,想定年収*,勤務h*,残業時間（h）*,受注数,未経験者,40代以上,外国籍,その他・補足事項（アピールポイントなど）,勤務地市町村
nk1ME,UT247,変更,2021/1/13,2024/8/19,ﾃﾞﾝｿｰﾃﾝ小山製作所,栃木県,小山市,間々田駅,正社員/契約社員,機電,生産技術業務,・生産技術、品質管理経験者,カーナビ、カーオーディオ部品,350万～,8:15～17:00,20h,3,不可,,可,※車があると便利です。,不明
nk2ME,UT248,変更,2021/1/13,2024/8/19,ﾃﾞﾝｿｰﾃﾝ小山製作所,栃木県,小山市,間々田駅,正社員/契約社員,機電,生産技術業務,・実装工程、設備メンテナンス,カーナビ、カーオーディオ部品,350万～,8:15～17:00,20h,3,不可,,可,※車があると便利です。,不明
nk3ME,OS105,変更,2021/5/12,2024/8/19,明石機械工業,兵庫県,加古郡,魚住駅,正社員/契約社員,機電,ステアリングギアの設計,・設計経験(CATIA、ケーラム),自動車部品,300万?450万,8:00～16:45,30h,3,不可,可,可,大手メーカーのグループ会社でのお仕事です。,不明
nk4ME,OS106,変更,2021/5/12,2024/8/19,明石機械工業,兵庫県,加古郡,魚住駅,正社員/契約社員,機電,ステアリングギアの生産ラインの立上げ,・生産技術経験者,自動車部品,300万?450万,8:00～16:45,40h,3,不可,可,可,大手メーカーのグループ会社でのお仕事です。,不明
nk5ME,OS129,変更,2021/5/12,2024/8/19,川崎重工業,兵庫県,明石市,西明石駅,正社員/契約社員,機電,コスト管理 （汎用小型エンジンの資材費・内製費）,・資材費、内製費等のコスト情報の収集・集計ができる ・開発費、販直費、関税、為替が理解できる ・エンジン部品の名称、機能、構成等が概ね理解できる,二輪車、エンジン,400万?550万,8:00～17:00,30h,3,不可,可,可,大手メーカーでの設計の仕事です。,不明
nk6ME,OS130,変更,2021/5/12,2024/8/19,川崎重工業,兵庫県,明石市,西明石駅,正社員/契約社員,機電,アルミ鋳造部品製造工程 ・重力・低圧・ダイガスト鋳造 二輪車部品の梱包業務や生産準備業務,・冶具設計の経験を3年以上,二輪車、エンジン,400万?550万,8:00～17:00,30h,3,不可,可,可,大手メーカーでの設計の仕事です。,不明
nk7ME,OS131,変更,2021/5/12,2024/8/19,川崎重工業,兵庫県,明石市,西明石駅,正社員/契約社員,機電,設備設計・保全業務 ・仕様打ち合せ、基本設計～調整・試運転,・設備設計の経験を3年以上,二輪車、エンジン,400万?550万,8:00～17:00,30h,3,不可,可,可,大手メーカーでの設計の仕事です。,不明
nk8RE,OS133,変更,2020/9/14,2024/8/17,東和薬品,大阪府,門真市,門真市駅,正社員/契約社員,R&D,ジェネリック医薬品の成分検査,・製薬業界経験者 ・HPLC使用経験,医薬品,300万?450万,8:40～17:40,20h,3,不可,,可,大手製薬メーカーでのお仕事です。,不明
nk9ME,OS138,変更,2021/5/12,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,機電,カーエレクトロニクス製品の機構設計,・CATIAやその他の3DCADを使用しての設計経験（自動車部品が望ましい） ・一般の機械系加工技術の知識のある方,カーナビ カーエレクトロニクス製品,400万?550万,8:30～17:00,40h,3,不可,可,不可,カーナビや自動車部品の開発に携われます。,不明
nk10ME,OS139,変更,2021/5/12,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,機電,カーエレクトロニクス製品の設計補助,・電気部品関連の知識・経験（抵抗、コンデンサ、トランジスタなど） ・電気回路関連の知識・経験（簡単な回路構成の理解） ・ExcelなどのPC作業 ・オシロスコープなど計測器取り扱い,カーナビ カーエレクトロニクス製品,300万?450万,8:30～17:00,40h,3,不可,可,不可,カーナビや自動車部品の開発に携われます。,不明
